,count,mean,std,min,25%,50%,75%,max
IDHM,27109.0,0.7407177321184846,0.044526934882045045,0.584,0.707,0.737,0.799,0.799
Target,27109.0,550.2263912353831,96.8978764843577,260.64,481.56000000000006,549.96,620.78,829.82
